,urlkey,timestamp,original,mimetype,statuscode,digest,length,year,month,day
26,"com,predpol,blog)/predpol-iacp-2016-san-diego",20170726111906,http://blog.predpol.com:80/predpol-iacp-2016-san-diego,text/html,200,HSVVTSTV3MTAW7GNV2GHFSSZ6V2R5ASJ,7912,2017,07,26
27,"com,predpol,blog)/predpol-iacp-2016-san-diego",20201031162641,https://blog.predpol.com/predpol-iacp-2016-san-diego,text/html,200,6TP2ZHBOTMZFPP2LMM735QDIIDYGHHC5,8751,2020,10,31
28,"com,predpol,blog)/predpol-iacp-2016-san-diego",20230127014236,https://blog.predpol.com/predpol-iacp-2016-san-diego,text/html,200,JKSMRLOGYRQNHOI254BHZ7ZXYMGDJKXG,9452,2023,01,27
29,"com,predpol,blog)/tag/community-policing/page/3",20210507015014,https://blog.predpol.com/tag/community-policing/page/3,text/html,200,45MRD5DY6IE2TEARYJCCHIL5YD32TO4K,9535,2021,05,07
30,"com,predpol,blog)/tag/community-policing/page/3",20230127020640,https://blog.predpol.com/tag/community-policing/page/3,text/html,200,VI52AIPBITPUWWSQHNAN6GYYU7FG2AFM,9049,2023,01,27
31,"com,predpol,blog)/tag/community-policing/page/3",20230609051834,https://blog.predpol.com/tag/community-policing/page/3,text/html,200,7AOPRP34Y5GJKYHUDPJESI7GQ4DZ2LCT,8690,2023,06,09
32,"com,predpol,blog)/tag/los-gatos-police",20170726173841,http://blog.predpol.com:80/tag/los-gatos-police,text/html,200,4QZXQHQ3FVTYEHVAN2VZIYIENPZ7COB6,7289,2017,07,26
33,"com,predpol,blog)/tag/salinas-police",20170726174710,http://blog.predpol.com:80/tag/salinas-police,text/html,200,ZXLFDFHAZMDGC6Z37IDTCVPIPPS4GPOI,7290,2017,07,26
34,"com,predpol,blog)/tag/ucla/page/2",20200702131725,http://blog.predpol.com/tag/ucla/page/2,text/html,200,U5DVBJR3YVIGPA224LYAP2QLJLVBUZ3O,10221,2020,07,02
35,"com,predpol,blog)/tag/ucla/page/2",20201031170055,https://blog.predpol.com/tag/ucla/page/2,text/html,200,FDAM7JO4GYDWWCAESVNOCAQRGS6AWJAD,10673,2020,10,31
36,"com,predpol,blog)/tag/news",20181218224310,http://blog.predpol.com:80/tag/news,text/html,200,KPJDSJLROGDH5JJKS7IRWVWVGCSVGGB5,9429,2018,12,18
37,"com,predpol,blog)/tag/news",20190217201320,http://blog.predpol.com:80/tag/news,text/html,200,CHOB6GX7IICVYHZ3RECNF3252L6X4LZ6,10684,2019,02,17
38,"com,predpol,blog)/tag/news",20190420130246,http://blog.predpol.com:80/tag/news,text/html,200,LCAT6A36G3MIN7JAVS63PA6TO2S2GK3L,10488,2019,04,20
39,"com,predpol,blog)/tag/news",20190620052556,http://blog.predpol.com:80/tag/news,text/html,200,E3CA3D66AEMVKTSDYDV264NXBQF2REQ7,10320,2019,06,20
40,"com,predpol,blog)/tag/news",20190819121352,http://blog.predpol.com:80/tag/news,text/html,200,4MSRLLLCY653ZSSCRH4ACFRLVPFOX6WO,10411,2019,08,19
41,"com,predpol,blog)/tag/news",20191023091832,http://blog.predpol.com:80/tag/news,text/html,200,46WYLQS6XX2OANU7PPQJQ2TB24WUKCW7,10768,2019,10,23
42,"com,predpol,blog)/tag/news",20191222135535,http://blog.predpol.com:80/tag/news,text/html,200,C5SXZ2QO6M5CB3CAGUGM6XYHKNI4RSNJ,10636,2019,12,22
43,"com,predpol,blog)/tag/news",20200220171429,http://blog.predpol.com:80/tag/news,text/html,200,6SR3EPMVNUME4B5BV56W5JN4SZBELBDG,10810,2020,02,20
44,"com,predpol,blog)/tag/news",20200423232849,https://blog.predpol.com/tag/news,text/html,200,6HC2ZAXNYJWA6HHUQ5M6Q7DFCISANFW5,11825,2020,04,23
45,"com,predpol,blog)/tag/news",20200423232849,https://blog.predpol.com/tag/news,text/html,200,6HC2ZAXNYJWA6HHUQ5M6Q7DFCISANFW5,11945,2020,04,23
46,"com,predpol,blog)/tag/news",20200702071712,http://blog.predpol.com/tag/news,text/html,200,R7YNLP5NU4LMD75MG7HO5IZJPJF3IDYQ,11209,2020,07,02
47,"com,predpol,blog)/tag/news",20200920015340,https://blog.predpol.com/tag/news,text/html,200,TVFJAEFTHMVMBKNEDYJXNEIVCZDSOQAT,11714,2020,09,20
48,"com,predpol,blog)/tag/news",20201026015943,https://blog.predpol.com/tag/news,text/html,200,RTUB7F54PQFOAVT2J5KOEOGMJSCDK3Y5,11695,2020,10,26
49,"com,predpol,blog)/tag/news",20210117132056,https://blog.predpol.com/tag/news,text/html,200,GEC4APG22V6LCSX6CD6EGMX4CLARSNGD,11747,2021,01,17
50,"com,predpol,blog)/tag/news",20210420141110,https://blog.predpol.com/tag/news,text/html,200,MOLVBMXDBCAZ5SKEKWFDJHS2OZEAPZEN,12414,2021,04,20
51,"com,predpol,blog)/tag/news",20210723200935,https://blog.predpol.com/tag/news,text/html,200,B4NKM5OUIEZEWAEFMWAHA6VBGFWQIO6V,12393,2021,07,23
52,"com,predpol,blog)/tag/news",20211027043331,https://blog.predpol.com/tag/news,text/html,200,55FR7GNMYSDCA5OS5UVBNUTC5SQWKUGK,12413,2021,10,27
53,"com,predpol,blog)/tag/news",20220522181130,https://blog.predpol.com/tag/news,text/html,200,2COX5CPC3MCZI4CJXNAMOJ5ZZSD3JXEL,12379,2022,05,22
54,"com,predpol,blog)/tag/news",20220925121622,https://blog.predpol.com/tag/news,text/html,200,TP6L4HNXP7JRRPAYERUXDCYEMTW32XH5,12526,2022,09,25
55,"com,predpol,blog)/tag/news",20230127022443,https://blog.predpol.com/tag/news,text/html,200,5ECETTKLPSREPDJZ3HXJCXGPMSHV3LN5,12509,2023,01,27
56,"com,predpol,blog)/tag/news",20230609053633,https://blog.predpol.com/tag/news,text/html,200,O3UOCY34STVLHJPO36M46RRZZ5VUEGOZ,12231,2023,06,09
57,"com,predpol,blog)/tag/news",20230626124513,https://blog.predpol.com/tag/news,text/html,200,HYKD4WFADMN3YQ5FKAB6H5YF437V72CK,9501,2023,06,26
58,"com,predpol,blog)/tag/news",20230626131616,https://blog.predpol.com/tag/news,text/html,200,HYKD4WFADMN3YQ5FKAB6H5YF437V72CK,9428,2023,06,26
59,"com,predpol,blog)/tag/news",20230711165446,https://blog.predpol.com/tag/news,text/html,200,MMXCROXKEGVDXFQFJS4AUHSRTPMUBMUP,9491,2023,07,11
60,"com,predpol,blog)/tag/news",20230921131805,https://blog.predpol.com/tag/news,text/html,200,EJOEFJG62PLQX3IVBXIYBDAMSHWJOWJO,12201,2023,09,21
61,"com,predpol,blog)/tag/news",20231119105443,https://blog.predpol.com/tag/news,text/html,200,FRKD73CLEJ7BMIBTUU552VFSMLGM3UW3,9481,2023,11,19
62,"com,predpol,blog)/tag/elgin-illinois",20170726174009,http://blog.predpol.com:80/tag/elgin-illinois,text/html,200,UI54DBLIBDEPSTXAB34E3EUYL4ZGRDQQ,7384,2017,07,26
63,"com,predpol,blog)/tag/patrol-operations",20181218224014,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,6AAMTN2LOCO2GGHAZ67XCWL56WIERKQ4,10349,2018,12,18
64,"com,predpol,blog)/tag/patrol-operations",20190217201426,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,R73M3MJH6EMWRVAZBHTVCXD5JZWQ3AOB,10648,2019,02,17
65,"com,predpol,blog)/tag/patrol-operations",20190420115638,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,ABYTMDSJ4TCXPSQGWRCQVLQBCBH5IIUS,10421,2019,04,20
66,"com,predpol,blog)/tag/patrol-operations",20190620052606,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,KXTY2VM25EMA3HN2OUQWWUZFFAOVO3YP,10279,2019,06,20
67,"com,predpol,blog)/tag/patrol-operations",20190819121233,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,JZOXALHZ5HPNEC5SDQG7DL5FFQXV5HIE,10330,2019,08,19
68,"com,predpol,blog)/tag/patrol-operations",20191023083413,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,D7QATF4GBXJN6KHMGFOY5NFNPWTDMWHU,10701,2019,10,23
69,"com,predpol,blog)/tag/patrol-operations",20191222135451,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,TWS4CUSTRGYDCANPERFKQAAGIVEHXSNQ,10692,2019,12,22
70,"com,predpol,blog)/tag/patrol-operations",20200220162255,http://blog.predpol.com:80/tag/patrol-operations,text/html,200,XOVKQBNSVZXY4QOFPUGMM7W5THZTQTXZ,11112,2020,02,20
71,"com,predpol,blog)/tag/patrol-operations",20200423232849,https://blog.predpol.com/tag/patrol-operations,text/html,200,6E5RTLL6ZQQJMTGGN36SWBC4YUSNBJSJ,12120,2020,04,23
72,"com,predpol,blog)/tag/patrol-operations",20200702070408,http://blog.predpol.com/tag/patrol-operations,text/html,200,GNIG4QS5O6X44GGVUAJXR3Z6BJOCQSA3,11591,2020,07,02
73,"com,predpol,blog)/tag/patrol-operations",20200806153706,http://blog.predpol.com/tag/patrol-operations,text/html,200,RM64S7XBQFFXV5SPX5NEW4TRMLAFULT3,11936,2020,08,06
74,"com,predpol,blog)/tag/patrol-operations",20201026010433,https://blog.predpol.com/tag/patrol-operations,text/html,200,55I7ZJ3CX37XVA34A4WNOVX5NBD7APET,12091,2020,10,26
75,"com,predpol,blog)/tag/patrol-operations",20201031155433,https://blog.predpol.com/tag/patrol-operations,text/html,200,D5F6CKLX7MUZHSCHGVWAW5NMXJHV7WNZ,12086,2020,10,31
76,"com,predpol,blog)/tag/patrol-operations",20210117120001,https://blog.predpol.com/tag/patrol-operations,text/html,200,TGBOZJRGYQ6XF3QP7XH366CATDLHGIIM,12153,2021,01,17
77,"com,predpol,blog)/tag/patrol-operations",20210420124001,https://blog.predpol.com/tag/patrol-operations,text/html,200,LAAQMNYE2U276XQCVM3SZJ5OE3PTFO6J,12639,2021,04,20
78,"com,predpol,blog)/tag/patrol-operations",20210613164509,https://blog.predpol.com/tag/patrol-operations,text/html,200,5OBXUZ65U5SYJLRLRGIEJBTYP7RDX3ZG,12632,2021,06,13
79,"com,predpol,blog)/tag/patrol-operations",20210613164509,https://blog.predpol.com/tag/patrol-operations,text/html,200,5OBXUZ65U5SYJLRLRGIEJBTYP7RDX3ZG,12632,2021,06,13
80,"com,predpol,blog)/tag/patrol-operations",20210925235310,https://blog.predpol.com/tag/patrol-operations,text/html,200,BY6TFMCDP5C7VEK2SLKCVQRYKJBEK7BS,12621,2021,09,25
81,"com,predpol,blog)/tag/patrol-operations",20211203154026,https://blog.predpol.com/tag/patrol-operations,text/html,200,PERVY5KCLRZGT2LKYDJGNAJX7VKF7AU4,12660,2021,12,03
82,"com,predpol,blog)/tag/patrol-operations",20220522162722,https://blog.predpol.com/tag/patrol-operations,text/html,200,SWWRK52BL7ZY4YXWSA4L725DZNJBYBF6,12598,2022,05,22
83,"com,predpol,blog)/tag/patrol-operations",20220925103535,https://blog.predpol.com/tag/patrol-operations,text/html,200,2CLS2AORCMJCWRRXYI7QMV5MSFDAHCBQ,12730,2022,09,25
84,"com,predpol,blog)/tag/patrol-operations",20230127004516,https://blog.predpol.com/tag/patrol-operations,text/html,200,FJOORL4UIUF2OISNAFLHX2RQQXEZVAS7,12730,2023,01,27
85,"com,predpol,blog)/tag/patrol-operations",20230609035112,https://blog.predpol.com/tag/patrol-operations,text/html,200,YPTYI2K6WJHU5IM34PIFVHN775WDB5WO,12446,2023,06,09
86,"com,predpol,blog)/tag/patrol-operations",20230626124737,https://blog.predpol.com/tag/patrol-operations,text/html,200,LLETRUGZJ7L6YJ6Q5P3RTIQNU5ZLG6TE,9629,2023,06,26
87,"com,predpol,blog)/tag/patrol-operations",20231209173634,https://blog.predpol.com/tag/patrol-operations,text/html,200,W65FLRG7V77X6SBMEOIRZYT7MKN2ZNKI,12491,2023,12,09
88,"com,predpol,blog)/tag/law-enforcement-technology",20170726173626,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,3N5NP7FX73R6W6FYPOO7PVLPNZYP7RU2,7722,2017,07,26
89,"com,predpol,blog)/tag/law-enforcement-technology",20181218224115,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,PPLP5XB6QEAZ234CTRSQAKUHB56ZUE2O,10207,2018,12,18
90,"com,predpol,blog)/tag/law-enforcement-technology",20190217201315,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,2HWLDTVL2MHCXHECYG6BUCHINPFJ5DTI,10517,2019,02,17
91,"com,predpol,blog)/tag/law-enforcement-technology",20190420115623,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,LEJNFUIE7GXDTDOMFLPIDRO4WM7PPTN6,10421,2019,04,20
92,"com,predpol,blog)/tag/law-enforcement-technology",20190620052541,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,2MNTLPCO5ZOLU6AI2SFZ5EZHZSCSXVOD,10281,2019,06,20
93,"com,predpol,blog)/tag/law-enforcement-technology",20190819120239,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,XP7YL4EYOLXY3GSPZJYGSUZ4Q5WHNHGO,10428,2019,08,19
94,"com,predpol,blog)/tag/law-enforcement-technology",20191023083358,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,5H2DKFY5YCXBFIV6CVGLMEV3GX6D7OT2,10711,2019,10,23
95,"com,predpol,blog)/tag/law-enforcement-technology",20191222135525,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,MJCVV7JJ2JWTH4BSHCMNLWJOY66MQWEM,10700,2019,12,22
96,"com,predpol,blog)/tag/law-enforcement-technology",20200220162245,http://blog.predpol.com:80/tag/law-enforcement-technology,text/html,200,MOO7WVDVI3CF4A33WPUDPYHWWQDRYTB6,11119,2020,02,20
97,"com,predpol,blog)/tag/law-enforcement-technology",20200423232849,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,SYAPJZ2B5AOCZAT3V3FXBME6G75J3XRJ,12020,2020,04,23
98,"com,predpol,blog)/tag/law-enforcement-technology",20200423232849,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,SYAPJZ2B5AOCZAT3V3FXBME6G75J3XRJ,12148,2020,04,23
99,"com,predpol,blog)/tag/law-enforcement-technology",20200702082310,http://blog.predpol.com/tag/law-enforcement-technology,text/html,200,CLACHHLKHAGC2CCVKRVXN5KZFRZ2RWEV,11591,2020,07,02
100,"com,predpol,blog)/tag/law-enforcement-technology",20200920001550,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,PT6NYWYZOEH2MVUUKGY7Z7JNMEL2GZQR,12094,2020,09,20
101,"com,predpol,blog)/tag/law-enforcement-technology",20201026012624,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,4642A4R4E5JF5BKV4IB6GISAWTJR74NM,12096,2020,10,26
102,"com,predpol,blog)/tag/law-enforcement-technology",20210117124330,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,Z7QJKNBIQVE5BPKVDXQRSNAR3LQD5HUS,12152,2021,01,17
103,"com,predpol,blog)/tag/law-enforcement-technology",20210420133648,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,JXT3F5B7N3XNXJSOR4K6XLCOJGUMEIWZ,12630,2021,04,20
104,"com,predpol,blog)/tag/law-enforcement-technology",20210613175332,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,HKCLVMQHLMFHZ5HK7UJT65AEPHA3AEY5,12641,2021,06,13
105,"com,predpol,blog)/tag/law-enforcement-technology",20210613175332,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,HKCLVMQHLMFHZ5HK7UJT65AEPHA3AEY5,12641,2021,06,13
106,"com,predpol,blog)/tag/law-enforcement-technology",20210926005901,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,YYLYXTE6F6X2YJFCWEAFWNNMCCFLGXGO,12633,2021,09,26
107,"com,predpol,blog)/tag/law-enforcement-technology",20211203163918,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,MUTIXSA3XYOQPJYEDSN7OZKLAT2GRYCD,12646,2021,12,03
108,"com,predpol,blog)/tag/law-enforcement-technology",20220522173021,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,ZQMWAK3XLOADMXNGEEMMTLW2FW737HXH,12596,2022,05,22
109,"com,predpol,blog)/tag/law-enforcement-technology",20220925113808,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,2KSSFEVXV7ELROD5DCVCUPPBBG473XWE,12739,2022,09,25
110,"com,predpol,blog)/tag/law-enforcement-technology",20230127014810,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,G6HX5ECAYSOXPVMWCVD7ZBOE4AAQIXWU,12736,2023,01,27
111,"com,predpol,blog)/tag/law-enforcement-technology",20230609045651,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,ILLVBRNQIOEU7JJW3S2A2374WDNX2SS6,12449,2023,06,09
112,"com,predpol,blog)/tag/law-enforcement-technology",20230626123017,https://blog.predpol.com/tag/law-enforcement-technology,text/html,200,ZVCZ72PZ5M76L2KBC7YCVNYVRJCB3LS3,9630,2023,06,26
